"filename", "language", "JSON", "Markdown", "JSON with Comments", "YAML", "TypeScript", "PostCSS", "Ignore", "JavaScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 20
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\robots.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\sitemap.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 12, 6, 39
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\app\test\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\_deprecated\pagebuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 140, 19, 18, 177
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\_deprecated\pagebuilder.v2\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\_deprecated\pagebuilder.v2\pagebuilder-preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 85, 9, 10, 104
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\_deprecated\pagebuilder.v2\pagebuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 12, 10, 93
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 161, 0, 21, 182
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-list.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-page-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 91, 0, 14, 105
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 109, 6, 16, 131
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-search-results.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 13, 150
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-search.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 6, 56
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\blog-section.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 5, 38
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\menu-link.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 4, 40
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\rich-text.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 132, 0, 6, 138
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\sanity-buttons.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 7, 69
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\sanity-icon.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 7, 36
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\sanity-image.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 3, 6, 31
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\elements\table-of-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 410, 27, 72, 509
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 222, 0, 13, 235
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\image-link-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 5, 48
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\json-ld.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 608, 145, 87, 840
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 47, 2, 5, 54
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\mobile-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 117, 1, 12, 130
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\mode-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 4, 39
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 178, 26, 23, 227
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\pagebuilder\index.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\pagebuilder\pagebuilder-client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 93, 2, 9, 104
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\pagebuilder\pagebuilder-content.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 71, 3, 10, 84
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\pagebuilder\pagebuilder.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 1, 5, 41
"c:\Users\solsk\Desktop\Martin\monorepo\solskjerming\apps\web\src\components\preview-bar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 50
